claim_id,subject_type,subject_id,predicate,object_text,confidence,status,notes
C0103,person,P0040,held_office,Prime Minister and Minister of Finance,confirmed,active,"Naser al-Molk cabinet, printed page 179"
C0104,source,S0001,author_concludes,The initial hypothesis limiting Gharagozloo presence in Iran to the Mongol period was rejected; the author places their arrival in the late fourth or early fifth AH century.,confirmed,active,"This records the author’s conclusion, not independent proof of the underlying chronology."
C0105,source,S0001,author_concludes,"The Gharagozloos were Turkic-speaking and belonged under the Bigdili grouping, described as one of the twenty-four major Oghuz tribes.",confirmed,active,Authorial conclusion.
C0106,source,S0001,author_concludes,"After the Mongol invasion, the Gharagozloos moved west toward Syria, joined other Turkic groups, and became associated with the Shamlu confederation.",confirmed,active,Authorial conclusion.
C0107,source,S0001,author_concludes,Timur moved them eastward; they later settled again on the Iranian plateau and entered the Safavid Qizilbash confederation.,confirmed,active,Authorial conclusion.
C0108,source,S0001,author_concludes,"Under Shah Abbas and in the late Safavid period, the Gharagozloos regained prominence and their presence around Hamadan became clear.",confirmed,active,Authorial conclusion.
C0109,source,S0001,author_concludes,"Under the Qajars they gained exceptional trust, culminating in Naser al-Molk Gharagozloo’s selection as regent after the death of Azod al-Molk.",confirmed,active,Authorial conclusion.
C0110,source,S0001,author_concludes,The tribe provided extensive military service across Iran but was later marginalized as the Qajar order declined.,confirmed,active,Authorial conclusion.
C0111,source,S0001,chapter_2_social_structure,"The chapter identifies Hajilu, Ashiqloo, and Uzbeklu as principal Gharagozloo branches, while treating claims of absorption or renaming cautiously.",confirmed,active,Narrative-text summary.
C0112,source,S0001,chapter_2_economic_structure,Landed property and agricultural production formed a major economic base of Gharagozloo elite power in Hamadan.,confirmed,active,Narrative-text summary.
C0113,source,S0001,chapter_2_military_structure,"Military strength, alongside landed wealth, was a principal basis of Gharagozloo prominence under the Qajars.",confirmed,active,Narrative-text summary.
C0114,source,S0001,chapter_2_regiments,"The Sixth, Mansur, Mokhberan, and Fadavi regiments are identified as four principal Gharagozloo military formations.",confirmed,active,Narrative-text summary.
C0115,source,S0001,chapter_2_branch_command_flexibility,Regimental command was not rigidly confined by tribal branch; cross-branch and external appointments occurred.,confirmed,active,Narrative-text summary.
C0116,source,S0001,chapter_2_military_office_practice,"Formal rules against purchasing military office diverged from practice, as illustrated by payments for rank and command.",confirmed,active,Narrative-text summary.
C0117,source,S0001,origin_hypothesis,The author favors an Oghuz-Turkic origin and considers a connection through Bigdili and Shamlu plausible.,probable,active,"Author synthesis; organizational affiliation, not a biological genealogy."
C0118,source,S0001,mongol_origin_hypothesis,The theory that the Gharagozloos first entered Iran as a Mongol-period group is discussed but rejected by the author.,disputed,active,Rejected hypothesis preserved for historiographical transparency.
C0119,source,S0001,shamlu_affiliation,Several earlier writers describe the Gharagozloos as a branch or remnant of the Shamlu.,possible,active,Competing scholarly opinion.
C0120,source,S0001,qizilbash_affiliation,The book describes the Gharagozloos as joining or belonging to the Qizilbash political-military world by the late fifteenth or early Safavid period.,probable,active,Author synthesis.
C0121,person,P0068,identity_connection,It is uncertain whether Amir Jafar Ali Gharagoz belonged to the same Gharagozloo grouping later prominent in Hamadan.,possible,active,The author explicitly preserves uncertainty.
C0122,person,P0069,identity_connection,"Amir Mohammad Gharagoz may represent continued Gharagozloo service among Timurid or Mughal forces, but the identification is not conclusive.",possible,active,Author inference.
C0123,source,S0001,safavid_service,"Gharagozloo figures held military, court, and provincial offices under the Safavids.",confirmed,active,Narrative synthesis from named examples.
C0124,source,S0001,hamadan_consolidation,By the eighteenth century the Gharagozloos possessed significant landed and military power in the Hamadan region.,confirmed,active,Narrative synthesis.
C0125,source,S0001,zand_alliance,The Gharagozloos became important allies of Karim Khan Zand and participated in campaigns against his rivals.,confirmed,active,Narrative and cited chronicle evidence.
C0126,source,S0001,chapter_1_evidentiary_caution,The chapter repeatedly distinguishes named historical actors from later genealogical reconstruction and acknowledges major gaps in continuous descent.,confirmed,active,Methodological conclusion.
C0127,person,P0011,five_named_sons,"The narrative explicitly names Rostam, Abdollah Sarem al-Saltaneh, Nabi, Fazlollah, and Ali-Naqi as sons of Mohammad-Hossein Khan.",confirmed,active,Text-derived; stronger than diagram-only genealogy.
C0128,person,P0011,probable_parentage,"Shahbaz Khan is presented as the probable father or predecessor of Mohammad-Hossein Khan, but the author marks the connection as inference.",probable,active,Do not convert to a confirmed parent-child edge without further evidence.
C0129,person,P0003,military_career,"Mostafa-Qoli Khan commanded the Fadavi establishment, served in the southern war, held Astarabad command, and became head of the Khorasan military establishment.",confirmed,active,Composite narrative synthesis from Chapters 2 and 3.
C0130,person,P0003,title_origin,The title E'temad al-Saltaneh was granted after his recall from successful Astarabad service.,confirmed,active,Narrative statement.
C0131,person,P0004,family_and_office,"Abdollah Khan was son of Mostafa-Qoli Khan, father of Hossein-Qoli, Mohtaj-Ali, and Mansur-Ali, and served as governor of Khuzestan.",confirmed,active,Text-derived lineage and appointment.
C0132,person,P0004,landholding_scale,The author states that Abdollah Khan controlled approximately 120 villages or landed properties late in life.,probable,active,Author narrative; exact estate list remains incomplete.
C0133,person,P0005,limited_book_biography,S0001 securely establishes Mohtaj-Ali's lineage and titles but supplies little independent political or military biography.,confirmed,active,Negative finding from whole-book reconciliation.
C0134,person,P0007,limited_book_biography,S0001 contains no substantial independent narrative biography for Gholam-Ali Khan.,confirmed,active,Relationship evidence remains family-supplied and diagram-supported.
C0135,person,P0008,identity_separation,Index references to Gholamhossein Gharagozloo on pages 19 and 64 concern the author of Hegmataneh ta Hamadan and should not be assigned to Gholamhossein Khan Amiri.,confirmed,active,Identity collision resolved.
C0136,person,P0040,canonical_lineage,Naser al-Molk was son of Ahmad Khan Sartip and grandson of Mahmoud Khan Naser al-Molk.,confirmed,active,Narrative-text lineage.
C0137,person,P0040,career_summary,"Naser al-Molk studied at Oxford, served as court translator and diplomat, became finance minister and prime minister, and later served as regent.",confirmed,active,Chapter 4 synthesis.
C0138,person,P0040,political_interpretation,The author interprets Naser al-Molk as a conservative landed aristocrat who considered constitutional change premature.,probable,active,"Authorial interpretation, not a neutral self-description."
C0139,person,P0040,child_identity_conflict,"The Chapter 2 identification of Mehdi Khan as Naser al-Molk's son conflicts with Chapter 4's statement that his children were Hossein-Ali, Mohsen, and one daughter.",disputed,superseded,Superseded by Figure 3 + explicit later prose. The Chapter 2 military passage is now treated as command succession/ambiguous wording rather than proof that Mehdi was Naser al-Molk's son.
C0140,person,P0018,succession,Rostam Khan was the eldest son and contested successor of the early Mohammad-Hossein Khan.,confirmed,active,Text-derived.
C0141,person,P0018,military_career,"Rostam Khan served in the Mahmudabad/Herat, Kerman, Bandar Abbas, and Anglo-Persian southern campaigns and commanded Mokhberan regiments.",confirmed,active,Archive synthesis from S0001 narrative.
C0142,person,P0028,military_career,Abdollah Khan Sarem al-Saltaneh commanded Malayer and Tuyserkan regiments and participated in southern campaigns.,confirmed,active,Text-derived.
C0143,person,P0013,dual_significance,Nabi Khan is both a senior Herat commander and the genealogical bridge to the Naser al-Molk house.,confirmed,active,Archive synthesis.
C0144,person,P0062,limited_biography,"Fazlollah Khan is securely identified as a son of Mohammad-Hossein Khan and colonel of the Sixth Regiment, but S0001 gives little additional biography.",confirmed,active,Whole-book negative finding.
C0145,person,P0020,military_rank,Ali-Naqi Khan held the rank of Sartip and is associated with Dargazin/Kerman-Laristan operations.,confirmed,active,Text-derived.
C0146,person,P0019,royal_marriage_and_diplomacy,"Ali Khan Nosrat al-Molk married Zobeydeh Khanom, daughter of Fath-Ali Shah, and carried out the Gobineau escort mission.",confirmed,active,Text-derived.
C0147,person,P0022,hereditary_command,Mohammad-Hossein Khan Hesam al-Molk transmitted the Shervin military-house succession from Ali Khan to Zeyn al-Abedin Khan.,confirmed,active,Family and regimental synthesis.
C0148,person,P0023,life_dates,Zeyn al-Abedin Khan Amir Afkham was born in 1275 AH and died in 1346 AH.,confirmed,active,Chapter 2 family summary.
C0149,person,P0023,political_and_estate_profile,"Amir Afkham was a major landowner, military patron, provincial governor, and royalist opponent of the Constitutional movement.",probable,active,Mix of narrative facts and author synthesis.
C0150,person,P0024,title_variation,S0001 uses both Ehtesham al-Saltaneh and Ehtesham al-Dowleh for Gholamreza Khan.,confirmed,active,"Title variation preserved, not flattened."
C0151,person,P0024,royal_marriage,"Gholamreza Khan married Qamar al-Saltaneh, daughter of Mozaffar al-Din Shah, in 1309 AH.",confirmed,active,Narrative and caption evidence.
C0152,person,P0076,is child of,Dr. Alireza Amiri Gharagozloo,confirmed,active,Direct family testimony.
C0153,person,P0076,is spouse of,Amir Navab,confirmed,active,Direct family testimony.
C0154,person,P0078,is child of,Yassaman Amiri Gharagozloo and Amir Navab,confirmed,active,Direct family testimony.
C0155,person,P0079,is child of,Yassaman Amiri Gharagozloo and Amir Navab,confirmed,active,Direct family testimony.
C0156,person,P0080,is spouse of,Hossein Gholi Amiri Gharagozloo,confirmed,active,Direct family testimony.
C0157,person,P0081,is child of,Hossein Gholi Amiri Gharagozloo and Roya Yaghmai,confirmed,active,Direct family testimony.
C0158,person,P0082,is child of,Hossein Gholi Amiri Gharagozloo and Roya Yaghmai,confirmed,active,Direct family testimony.
C0159,person,P0001,formerly proposed parentage,Mohammad-Hossein Khan Gharagozloo (P0011) was formerly placed as the father of Haji Mohammad Khan Jeyhunabadi (P0001).,disputed,superseded,Rejected for the canonical graph: S0001 identifies the two men with different branches and does not establish a parent-child relationship.
C0160,person,P0001,branch affiliation,Hajilou,confirmed,active,S0001 identifies the Jeyhunabadi/Amir Nezam family line as Hajilou.
C0161,person,P0011,branch affiliation,Ashiqloo,confirmed,active,S0001 identifies Mohammad-Hossein Khan as the early chief of the Ashiqloo line.
C0162,person,P0001,earliest secure direct-line root,Haji Mohammad Khan Jeyhunabadi is the earliest securely connected root of the archive owner's displayed direct line pending reconstruction of earlier Hajilou generations.,confirmed,active,This is an archive-level conclusion limited to the evidence currently established from S0001.
C0163,person,P0002,sons shown in Figure 4,"Alireza Khan, Kazem Khan, Mostafa-Qoli Khan E'temad al-Saltaneh, and Majid Khan",probable,active,The four-son grouping is read from the printed genealogy. Mostafa-Qoli is independently corroborated by prose. The collateral sons are diagram-supported; the earlier Mahmoud reading was corrected to Majid.
C0164,person,P0083,is child of,Sartip Mohammad-Baqer Khan Gharagozloo,probable,active,Diagram-supported relationship in S0001 Figure 4.
C0165,person,P0084,is child of,Sartip Mohammad-Baqer Khan Gharagozloo,probable,active,Diagram-supported relationship in S0001 Figure 4.
C0166,person,P0085,is child of,Sartip Mohammad-Baqer Khan Gharagozloo,probable,active,Diagram-supported relationship in S0001 Figure 4; personal name corrected from Mahmoud to Majid.
C0167,person,P0086,is child of,Majid Khan Gharagozloo of the Hajilou/Jeyhunabadi line,probable,active,Diagram-supported relationship in S0001 Figure 4; parent name corrected from Mahmoud to Majid.
C0168,person,P0087,is child of,Ali-Akbar Khan Gharagozloo,probable,active,Diagram-supported relationship in S0001 Figure 4.
C0169,person,P0083,children shown in Figure 4,Ali Khan Jalal al-Molk and Noor Mohammad Khan,probable,active,Two-child grouping read directly from Figure 4. The upper child's name was confirmed as Ali Khan Jalal al-Molk.
C0170,person,P0088,is child of,Alireza Khan Gharagozloo (P0083),probable,active,Diagram-supported relationship in S0001 Figure 4.
C0171,person,P0089,is child of,Alireza Khan Gharagozloo (P0083),probable,active,Diagram-supported relationship in S0001 Figure 4.
C0172,person,P0088,children shown in Figure 4,Asadollah Khan; Panahollah Khan Jalal al-Saltaneh; Seyfollah Khan Jalali; Hossein Ali Khan Fath al-Saltaneh,probable,active,Four-child grouping read directly from the printed genealogy.
C0173,person,P0090,is child of,Ali Khan Jalal al-Molk Gharagozloo (P0088),probable,active,Diagram-supported relationship in S0001 Figure 4.
C0174,person,P0091,is child of,Ali Khan Jalal al-Molk Gharagozloo (P0088),probable,active,Diagram-supported relationship in S0001 Figure 4.
C0175,person,P0092,is child of,Ali Khan Jalal al-Molk Gharagozloo (P0088),probable,active,Diagram-supported relationship in S0001 Figure 4.
C0176,person,P0093,is child of,Ali Khan Jalal al-Molk Gharagozloo (P0088),probable,active,Diagram-supported relationship in S0001 Figure 4.
C0177,person,P0091,held title,Jalal al-Saltaneh,probable,active,Title read from S0001 Figure 4.
C0178,person,P0093,held title,Fath al-Saltaneh,probable,active,Title read from S0001 Figure 4.
C0179,person,P0088,held title,Jalal al-Molk,probable,active,Title confirmed by direct reading of S0001 Figure 4.
C0180,person,P0094,branch leadership,Head of the Hajilou branch during the Zand period,confirmed,active,Explicit narrative statement in S0001.
C0181,person,P0095,parentage,Son of Haji Mohammad Jafar Khan Gharagozloo (P0094),confirmed,active,Explicit narrative statement and Figure 4.
C0182,person,P0095,children count,Five male children,confirmed,active,Explicit narrative statement; Figure 4 presents five branch heads.
C0183,person,P0096,parentage,Son of Haji Abdollah Khan Gharagozloo (P0095),probable,active,"Figure 4 reconstruction, supported contextually by the prose."
C0184,person,P0073,parentage,Son of Haji Abdollah Khan Gharagozloo (P0095),probable,active,"Figure 4 reconstruction, supported contextually by the prose."
C0185,person,P0097,parentage,Son of Haji Abdollah Khan Gharagozloo (P0095),confirmed,active,Explicit narrative statement and Figure 4.
C0186,person,P0098,parentage,Son of Haji Abdollah Khan Gharagozloo (P0095),disputed,active,"Figure 4 supports this placement, but the prose may place Haji Mina one generation earlier."
C0187,person,P0001,parentage,Son of Haji Abdollah Khan Gharagozloo (P0095),probable,active,"Figure 4 reconstruction, supported contextually by the prose."
C0188,person,P0098,alternative parentage,Possible son of Haji Mohammad Jafar Khan Gharagozloo (P0094),disputed,active,A literal reading of the prose can place Haji Mina among the sons of Haji Mohammad Jafar Khan.
C0189,person,P0099,parentage,Son of Haji Safar Khan Gharagozloo (P0097),confirmed,active,Explicit in S0001 prose and Figure 4.
C0190,person,P0099,held title,Majzub Ali Shah,confirmed,active,Used in both narrative and Figure 4.
C0191,person,P0099,death,Died in Tabriz in 1239 AH,confirmed,active,Narrative account in S0001.
C0192,person,P0099,burial,Buried at the shrine of Seyyed Hamzeh in Tabriz,confirmed,active,Narrative account in S0001.
C0193,person,P0099,children count,Five sons,probable,active,Figure 4 displays five sons.
