claim_id,evidence_type_code,assertion_scope,source_position,assessment_notes
C0211,GENEALOGICAL_DIAGRAM,genealogical_diagram,presents,Relationship reconstructed from Figure 4.
C0212,GENEALOGICAL_DIAGRAM,genealogical_diagram,presents,Relationship reconstructed from Figure 4.
C0213,GENEALOGICAL_DIAGRAM,genealogical_diagram,presents,Relationship reconstructed from Figure 4.
C0214,GENEALOGICAL_DIAGRAM,genealogical_diagram,presents,Relationship reconstructed from Figure 4.
C0215,GENEALOGICAL_DIAGRAM,genealogical_diagram,presents,Relationship reconstructed from Figure 4.
C0216,GENEALOGICAL_DIAGRAM,genealogical_diagram,presents,Relationship reconstructed from Figure 4.
C0217,GENEALOGICAL_DIAGRAM,genealogical_diagram,presents,Relationship reconstructed from Figure 4.
C0218,GENEALOGICAL_DIAGRAM,genealogical_diagram,presents,Relationship reconstructed from Figure 4.
C0219,GENEALOGICAL_DIAGRAM,genealogical_diagram,presents,Title-form printed in Figure 4.
C0220,GENEALOGICAL_DIAGRAM,genealogical_diagram,presents,Military rank printed in Figure 4.
