citation_id,source_id,page_printed,page_file,locator_text,quoted_text,notes
X0053,S0001,185,,"Chapter 4, printed page 185",,Chapter 4 mining package
X0054,S0001,186,,"Chapter 4, printed page 186",,Chapter 4 mining package
X0055,S0001,187,,Conclusion,,Conclusion pages.
X0056,S0001,187,,Conclusion,,Conclusion pages.
X0057,S0001,187,,Conclusion,,Conclusion pages.
X0058,S0001,187,,Conclusion,,Conclusion pages.
X0059,S0001,187-188,,Conclusion,,Conclusion pages.
X0060,S0001,188,,Conclusion,,Conclusion pages.
X0061,S0001,188,,Conclusion,,Conclusion pages.
X0062,S0001,55-60,,"Chapter 2, section 2-1: social structure and principal branches",,Narrative-text evidence.
X0063,S0001,59-61,,Chapter 2: major landed families and their property centers,,Narrative-text evidence.
X0064,S0001,61-72,,"Chapter 2, section 2-2: ownership and economic structure",,Narrative-text evidence.
X0065,S0001,79-80,,"Chapter 2, section 2-3: military hierarchy and Gharagozloo military importance",,Narrative-text evidence.
X0066,S0001,80-82,,"Chapter 2, section 2-3-1: principal Gharagozloo regiments",,Narrative-text evidence.
X0067,S0001,81-82,,Chapter 2: command succession among regiments,,Narrative-text evidence.
X0068,S0001,82-85,,"Chapter 2: infantry service, artillery, pay arrears, and military office",,Narrative-text evidence.
X0069,S0001,11-19,,"Chapter 1, section 1-1: tribal origins and competing theories",,Textual discussion of origin traditions and historiography.
X0070,S0001,20-24,,"Chapter 1, section 1-2-1: Gharagozloo in the Seljuk period",,Narrative and quoted historical-source evidence.
X0071,S0001,25-29,,"Chapter 1, section 1-2-2: Timurid-period traditions",,Narrative-text evidence with explicit uncertainty.
X0072,S0001,29-43,,"Chapter 1, section 1-2-3: Safavid period",,Narrative and quoted historical-source evidence.
X0073,S0001,43-46,,"Chapter 1, section 1-2-4: fall of the Safavids to the death of Nader Shah",,Narrative and quoted historical-source evidence.
X0074,S0001,46-51,,"Chapter 1, section 1-2-5: alliance with the Zands",,Narrative and quoted historical-source evidence.
X0075,S0001,51-54,,"Chapter 1, section 1-3: family genealogy and historical cautions",,Narrative discussion of genealogy and evidentiary limits.
X0076,S0001,59-61,,Chapter 2 branch and family-line summary,,Text-first lineage and landed-family classification.
X0077,S0001,67-84,,Chapter 2 military organization and regimental succession,,"Military ranks, commands, regiments, and succession."
X0078,S0001,96-166,,Chapter 3 political and military narrative,,Career events for the reconciled Qajar-era figures.
X0079,S0001,167-186,,Chapter 4: Mirza Abu al-Qasem Khan Naser al-Molk,,Primary dossier narrative for Naser al-Molk.
X0080,S0001,213,,Hajilu genealogy diagram,,Supporting visual evidence only; small type and low scan quality.
X0081,U0001,,,Family testimony supplied by archive owner,,Used only where clearly labeled as user-supplied evidence.
X0082,S0001,59-61,,Chapter 2 family branches and the five sons of Mohammad-Hossein Khan,,Supports family identities and succession in the first Ashiqloo generation.
X0083,S0001,67-84,,"Chapter 2 military organization, commands, and regimental succession",,"Supports ranks, commands, and hereditary military succession."
X0084,S0001,96-166,,"Chapter 3 political, military, estate, and provincial narrative",,"Supports campaigns, offices, landholding, and political activity."
X0085,S0001,199-203,,Documentary portrait captions for the Hesam al-Molk / Amir Afkham line,,Supports portrait identities and family relationships.
X0086,S0001,167-186,,Chapter 4 Naser al-Molk narrative and family information,,Used for conflict comparison and related contextual evidence.
X0087,S0002,,,Conversation testimony dated 2026-07-14: immediate family of Dr. Alireza and Hossein Gholi Amiri Gharagozloo,,Supports the names and immediate parent/spouse relationships inserted by migration 0017.
X0088,S0001,59-61,,Chapter 2 branch and landed-family classification,,Textual evidence distinguishing the Hajilou and Ashiqloo lines and identifying the Jeyhunabadi/Amir Nezam family as Hajilou.
X0089,S0001,212-213,,Figures 3 and 4: separate Ashiqloo and Hajilou genealogies,,Visual corroboration that the book presents Ashiqloo and Hajilou as separate genealogical reconstructions; diagram evidence remains secondary to prose.
X0090,S0001,213,,Figure 4 — Hajilou genealogy; family group of Sartip Mohammad-Baqer Khan,,"Diagram shows Mohammad-Baqer Khan as a son of Haji Mohammad Khan Jeyhunabadi and depicts four sons under Mohammad-Baqer: Alireza Khan, Kazem Khan, Mostafa-Qoli Khan E'temad al-Saltaneh, and Mahmoud Khan. Diagram evidence is treated as probable pending prose or independent corroboration."
X0091,S0001,61,,Chapter 2 — Amir Nezam Letgahi lineage statement,,"Prose identifies Abdollah Khan as son of Mostafa-Qoli Khan, son of Mohammad-Baqer Khan, son of Haji Mohammad Khan Jeyhunabadi, and classifies the family as Hajilou."
X0092,S0001,213,,Figure 4 — Hajilou genealogy; Alireza Khan descendant group,,Figure 4 shows two children under Alireza Khan. The upper child has four children. The upper child's name was confirmed directly from the Persian figure as Ali Khan Jalal al-Molk Gharagozloo. A possible trailing descriptor after Asadollah Khan remains unresolved.
X0093,S0001,58-59,,Chapter 2 — early Hajilou leadership and genealogy,,"The narrative identifies Haji Mohammad Jafar Khan as Hajilou chief in the Zand period; states that Haji Abdollah Khan was his son and had five male children; identifies Haji Safar as a son of Haji Abdollah; and names Haji Fazlollah Royani, Haji Mohammad Khan Jeyhunabadi, Nasrollah Khan Korijani, and Haji Mina Khan Kabudarahangi in the early Hajilou family discussion."
X0094,S0001,213,,Figure 4 — older Hajilou trunk above the Jeyhunabadi line,,"The diagram shows Haji Mohammad Jafar Khan above Haji Abdollah Khan and places five branch heads beneath Haji Abdollah: Haji Fazlollah Khan, Nasrollah Khan, Haji Safar Khan, Haji Mina Khan Kabudarahangi, and Haji Mohammad Khan Jeyhunabadi. Persian labels were reviewed directly with the archive owner."
X0095,S0001,58-59,,Chapter 2 — Hajilou genealogy and Majzub Ali Shah,,Identifies Majzub Ali Shah Kabudarahangi as the son of Haji Safar Khan and grandson of Haji Abdollah Khan in the Hajilou branch.
X0096,S0001,213,,Figure 4 — Haji Safar / Majzub Ali Shah branch,,"Shows Haji Safar Khan, his son Mohammad Jafar Khan Majzub Ali Shah, and five sons of Majzub Ali Shah. Labels were reviewed directly with the archive owner."
X0097,S0001,107,,"Chapter 3, section 5-2-3 — death of Majzub Ali Shah",,"States that Sheikh Mohammad Jafar Khan, son of Haji Safar Khan and titled Majzub Ali Shah, died in Tabriz in 1239 AH and was buried at the shrine of Seyyed Hamzeh."
X0098,S0001,213,,Figure 4 — Nasrollah Khan Korijani branch,,Figure 4 shows the three-generation chain Nasrollah Khan Korijani -> Gholam Khan -> Noor Ali Khan. The Persian labels and structure were confirmed directly by the archive owner.
X0099,S0001,48-51,,Chapter 1 — Zand-era military activity of Nasrollah Khan,,"Associates Nasrollah Khan with the Gharagozloo decision to support Karim Khan Zand, command of Gharagozloo forces, the Yazd mission of 1194 AH, and subsequent Zand-Qajar military activity."
X0100,S0001,59,,Chapter 2 — Hajilou identity of Nasrollah Khan Korijani,,Explicitly identifies Nasrollah Khan Korijani as a member of the Hajilou branch.
X0101,S0001,90-103,,Chapter 3 — early Qajar military service,,"Describes service with Qajar forces, guarding Isfahan in 1203 AH, command of one thousand cavalry near Qomsheh, and the western-frontier mission under Mohammad Ali Mirza Dowlatshah on 12 Rajab 1222 AH."
X0102,S0001,113-114,,Chapter 3 — offices in Fars,,"Identifies Nasrollah Khan as head of the Gharagozloo forces in Fars, military administrator in 1215 AH, Minister of Fars from 1220 AH until Nowruz 1223 AH, and a man remembered in Shiraz for poetry, good nature, and good character."
X0103,S0001,213,,Figure 4 — Haji Mina Khan Kabudarahangi branch,,Figure 4 shows Haji Mina Khan with two sons and the descendant structure entered by this migration. The branch geometry and Persian labels were read directly and confirmed by the archive owner.
X0104,S0001,58,,Chapter 2 — Haji Mina Khan Kabudarahangi,,The prose names Haji Mina Khan Kabudarahangi among the sons of Haji Mohammad Jafar Khan and identifies him as an adviser and state counsellor to Agha Mohammad Khan Qajar. This conflicts with his placement beneath Haji Abdollah Khan in Figure 4.
X0105,U0001,,,"User-supplied Haji Fazlollah branch spreadsheet, 2026-07-18",,The archive owner reconstructed the branch row by row and explicitly defined ? as uncertain and ?? as highly uncertain. Source image is preserved in docs/reconciliation/source_images.
X0106,S0001,213,,Figure 4 — Haji Fazlollah Khan Royani branch,,Published genealogy diagram underlying the user-supplied reconstruction.
X0107,S0003,14-15,,Family-history list of Haji Fazlollah descendants,,Comparison source that appears to summarize the branch differently; retained as an unresolved source conflict.
X0108,U0001,,,"User-supplied remaining Hajilou branches sheet, 2026-07-18",,"Row/column reconstruction covering the Nasrollah Khan, Haji Safar Khan, and Haji Mina Khan branches. The archive owner defined ? as uncertain and ?? as highly uncertain."
X0109,U0001,,,"Verified PowerPoint connector reconstruction of the Hajilou family tree, 2026-07-31",,"The archive owner reconstructed the family tree in PowerPoint using explicit parent-child connector objects and generation colors, then verified the assistant-generated conventional tree. This citation supports the relationship corrections in migration 0028."
X0110,U0001,,,"Verified PowerPoint correction — seven children of Abdolhossein Khan Farkhari, 2026-07-31",,"The archive owner confirmed that Mohammad Morad Beg, Fath Ali Beg, and Mohammad Vali Beg are direct children of Abdolhossein Khan Farkhari."
X0111,U0001,,,"User-confirmed Jeyhunabadi branch expansion, 2026-07-31",,"The archive owner supplied the sibling and descendant structure for Haji Mohammad Khan Jeyhunabadi, including one unreadable child recorded as ? Khan."
X0112,U0001,,,"User-confirmed children of Hossein Qoli Khan Amir Nezam, 2026-07-31",,The archive owner supplied two children: Mostafa Gharagozloo and Adel Khan Gharagozloo.
X0113,S0001,67-84,,Military organization / succession of command of the Fadavi regiment,,"Alvandi explicitly calls Hossein Qoli Khan ""Amir Nezam"" when describing his succession to command after his father."
X0114,S0003,15,,Family-history introduction / Hajilou line,,The family-history collection identifies Hossein Qoli Khan as later becoming Amir Nezam and elsewhere calls him Amir Nezam II.
X0115,S0001,212,,Figure 3 — genealogy / notable men of the Ashiqloo Gharagozloo branch,,Literal Figure 3 structure transcribed and verified by the archive owner.
X0116,S0001,59-61; 135-139; 164-186,,Narrative prose used to reconcile Figure 3,,"Prose lineage passages used for omitted generations, sibling relationships, the Naser al-Molk line, and source conflicts."
X0500,S0200,,12,Opening family genealogy: older ancestral chain,"The family genealogy traces an older line through Qara Mohammad, Haji Bonyad Khan, Haji Qasem, Haji Jafar Khan and Haji Abdollah Beg.",Family-tradition genealogy preserved in the papers; treat as transmitted genealogy rather than independently verified chronology.
X0501,S0200,,15,Opening family genealogy: sons of Haji Abdollah Beg and Haji Fathollah branch,"The genealogy enumerates Haji Fathollah as a sixth son and names Abbas Beg, Allah-Panah Beg and Heidar Qoli Beg among his children.",Strong explicit genealogical statement in the preserved family genealogy.
X0502,S0200,,15,Opening family genealogy: Haji Mohammad Khan Jeyhunabadi descendants,"The genealogy gives six sons for Haji Mohammad Khan, including Mohammad Baqer, Haji Hamze, Haji Ali Mohammad, Mehdi Khan Sartip, Zolfaghar and Mohammad Qoli.",This list differs from the current canonical v2.8.0 child set; preserve as a source conflict/alternate tradition.
X0503,S0200,,15,Opening family genealogy: Haji Safar descendants,"The genealogy names Mohammad Jafar Khan Majzub Ali Shah, Sadeq Beg, Amin Beg, Rahim Beg and Hossein Ali Beg as children of Haji Safar.",Additive family-genealogy evidence; no canonical edge changes in this migration.
X0504,S0200,,15,Opening family genealogy: Haji Mina descendants and branch origins,"The genealogy names several Haji Mina descendants and associates Safi Qoli with the Kabudarahang khans, Abolqasem with the Yekleh family and Mohammad Ali with Haji Noor Ali.",Several identities do not yet have safe canonical matches; keep them at evidence level.
X0505,S0200,,15,Opening family genealogy: Haji Fazlollah and Nasrollah branches,"The genealogy gives branch histories, service context and descendant lists for Haji Fazlollah and Nasrollah, including Nasrollah's seven named children.",Evidence enrichment only; descendant placement remains pending reconciliation.
X0600,S0200,35,,Editor's introduction: Sarakhs mission and manuscript attribution,Abdollah Khan is identified as son of Mostafa Qoli Khan E'temad al-Saltaneh and colonel of the Fadavi Regiment during his Sarakhs service.,Editorial introduction identifying the author and mission context.
X0601,S0200,84–92,,"Report on Sarakhs and Naseriyeh Fortress: route, fortress and defensive setting","The report describes Naseriyeh Fortress, its gates, nearby forts, patrols, and the Sarakhs defensive landscape.",Firsthand report by Abdollah Khan.
X0602,S0200,92–95,,Report on Sarakhs and Naseriyeh Fortress: garrison life and security,"Soldiers stood night guard and also performed daytime water, fuel, patrol and frontier-security duties.",Firsthand observation and administrative assessment.
X0603,S0200,94–95,,Report on Sarakhs and Naseriyeh Fortress: manpower reform proposal,Abdollah Khan argues that twenty-seven useful cavalrymen would be more effective than two hundred subsidized kharalchi households.,"Author's reform proposal, not an objective statistical conclusion."
X0604,S0200,95–99,,"Report on Sarakhs and Naseriyeh Fortress: climate, river and local environment","The report describes severe winter conditions, river behavior, water works, surrounding terrain and local environmental conditions.",Firsthand and locally reported observations.
X0605,S0200,97–99,,Report on Sarakhs and Naseriyeh Fortress: Qal'eh Now and Qal'eh Qassab,Qal'eh Now had a permanent twenty-five-man garrison to protect dam workers; Qal'eh Qassab was an old uninhabited ruin.,Source-stated historical distances are preserved in claims without modern conversion.
X0606,S0200,98–102,,Report on Sarakhs and Naseriyeh Fortress: agriculture and water supply,"Abdollah Khan describes fertile soil, grain and fodder production, water shortages, wells and annual dam work.","Mix of direct observation, local testimony and administrative estimates."
X0607,S0200,100–102,,Report on Sarakhs and Naseriyeh Fortress: closing fiscal and agricultural recommendations,"The report proposes local cultivation, reduced ration dependency and cash valuation tied to Mashhad grain prices.",Author's administrative recommendations.
X0608,S0200,103–104,,Kitabche-ye Merv: purpose and source criticism,Abdollah Khan says he investigated Turkmen conditions during nearly two years at Sarakhs and cautions that oral tribal histories are not fully reliable.,Important source-critical statement by the author.
X0609,S0200,106–108,,Kitabche-ye Merv: Salur relocation and conflict,"The account describes Salur cooperation with Iranian forces, relocation to Old Sarakhs, and later forced movement toward Merv.",Historical narrative based substantially on Turkmen informants rather than eyewitness observation.
X0610,S0200,106–108,,Kitabche-ye Merv: Teke force under Qushid Khan and Khajqa Sardar,The source reports a force of about three thousand cavalry and infantry sent against the Salur under Khajqa Sardar.,Source-stated approximate force size; preserve as attributed historical testimony.
X0611,S0200,103–110,,"Kitabche-ye Merv: Teke, Salur, Merv and Sarakhs historical geography","The account connects Teke and Salur communities to Merv, Akhal, Tejen, Zurabad and Sarakhs and describes migration, irrigation and political pressure.",Regional ethnographic/historical material with mixed evidence basis.
X0612,S0200,1296 AH colophon,,Report colophon,The Sarakhs report closes with a composition date of 1296 AH.,Direct dating statement in the work.
X0700,S0200,,53,Khuzestan/Lorestan report opening and mission framing,Abdollah Khan frames the work as the result of roughly two and a half years in Khuzestan and observation of the Lorestan road.,Primary-source report by Abdollah Khan.
X0701,S0200,,62,Khuzestan climate and regional geography,"The report compares the climate of Dezful, Shushtar, Falahiyah and Mohammerah and describes the river systems of Khuzestan.",Firsthand regional observations.
X0702,S0200,,67,Military forces in Khuzestan and Fadavi deployment,"The Fadavi Regiment arrived before Nezam al-Saltaneh, camped outside Dezful, then moved toward Falahiyah, Ahvaz and Hoveyzeh.",Military-service narrative.
X0703,S0200,,70,Shahsevan cavalry and artillery at Shushtar,Aqajan Khan Sartip served with Shahsevan cavalry and as deputy governor of Dezful; old artillery at Shushtar required repair.,Personnel and military-infrastructure observations.
X0704,S0200,,73,Hoveyzeh agricultural and tribal geography,"The report describes dry farming, grazing, and major tribal settlements around Hoveyzeh.",Contemporary regional description.
X0705,S0200,,78,Bani Saleh and Bani Torof,"The report describes Bani Saleh leaders, seasonal grazing and cultivation, and comments on Bani Torof territorial power.",Household figures require reconciliation before normalization.
X0706,S0200,,84,Dezful–Shush corridor and local security,Shush and the shrine of Daniel are described in relation to Dezful; Karim Khan and government cavalry are associated with local security.,"Road, antiquity and security observations."
X0707,S0200,,91,Dezful urban economy and bridge,"Dezful is described as comparatively prosperous, with markets, caravanserais, bathhouses, long-distance trade and a damaged bridge under local repair.",Contemporary urban/economic description.
X0708,S0200,,92,Falahiyah political crisis and Sheikh Ja'far Khan,"The source describes the conflict involving Sheikh Abdollah Khan, Sheikh Ja'far Khan, government mediation, troops and artillery.",Political-military episode.
X0709,S0200,,103,Ahvaz and Mohammerah infrastructure and shipping,Abdollah Khan discusses Ahvaz irrigation works and argues for better port and shipping procedures at Mohammerah.,Infrastructure and commercial reform proposals.
X0710,S0200,,111,Lower Khuzestan military dispositions,"The report describes troops, artillery and military deployments around Shushtar, Ahvaz and Mohammerah.",Military-service account.
X0711,S0200,,121,Hoveyzeh/Falahiyah political administration,"The report discusses Hoveyzeh ruling families, fiscal assignments, Mowla Motalleb Khan and the political weight of Bani Torof.",Political-administrative observations.
X0800,S0200,15,16,Editor introduction: Sarakhs through Fars transition,The editor traces Abdollah Khan from Sarakhs and Astarabad to Khuzestan and the 1309 AH move to Shiraz with responsibility for city and citadel security.,Biographical synthesis in the editor's introduction.
X0801,S0200,16–17,17,Editor introduction: Hamadan crisis and return to command,"The editor describes the 1310 AH Hamadan crisis, detention in Tehran, and Abdollah Khan's rapid return to military command.",Political chronology; motives for punishment are discussed through competing accounts.
X0802,S0200,17,18,Editor introduction: Fars deputy governorship and Khuzestan appointment,"The editor follows the 1311 AH Fars deputy governorship, Shiraz unrest and later appointment to govern Khuzestan as Sardar Akram.",Biographical synthesis.
X0803,S0200,18–19,19,"Editor introduction: constitutional-era opposition, grain crisis, and 1325 AH reversal","The editor records opposition to the Majles, Hamadan grain complaints, abolition of command and the blocked Kurdistan nomination.",Political claims remain source-attributed.
X0804,S0200,19–20,20,"Editor introduction: 1326 AH protest, restoration and Tabriz campaign","The editor describes the Fadavi wage protest, War Ministry proceedings, restoration under Mohammad Ali Shah and the Amir Nezam title.",Biographical synthesis.
X0805,S0200,20,21,"Editor introduction: finance ministry, Kurdistan, excavation controversy and Salar al-Dowleh","The editor records later offices and controversies, including the finance ministry, Kurdistan, Kordabad excavations and Salar al-Dowleh episode.",Some passages report accusations or hostile assessments and must remain attributed.
X0806,S0200,21,22,"Editor introduction: Third Majles, later finance ministry, and death","The editor records election from Hamadan with 4,829 votes, later finance-ministry service, and death on 23 Sha'ban 1334 AH / 1916 CE.",Late-career chronology and death.
X0807,S0200,21–22,22,Mosaddegh retrospective criticism of Amir Nezam as finance minister,A retrospective account attributed to Mohammad Mosaddegh criticizes Amir Nezam's financial-administrative competence and use of divination in appointments.,"Store as attributed retrospective criticism, not neutral fact."
X0900,S0200,205–332,,Safarnameh-ye Makkah: overall work and 1319 AH pilgrimage,"Abdollah Khan's Mecca travelogue records the international route, pilgrimage, administration, illness, and observations of cities and transport.",Primary first-person travelogue; broad work-level citation.
X0901,S0200,,,Safarnameh-ye Makkah: Baku / Tiflis / Batum / Sevastopol route comparison,"Abdollah Khan compares rail and sea routes from Baku toward Istanbul, including travel time, cost and ticketing.",First-person travel-route discussion.
X0902,S0200,,,Safarnameh-ye Makkah: Istanbul to Jeddah through-ticket,"The diary describes a through-ticket from Istanbul to Jeddah using ship travel to Alexandria, railway transport toward Suez, and another ship to Jeddah.",First-person transport observation.
X0903,S0200,,,Safarnameh-ye Makkah: Alexandria–Suez railway,"The diary records railway staging and distance information between Alexandria/Egypt and Suez, including Ismailia.",Historical transport data retained as source-stated.
X0904,S0200,,,"Safarnameh-ye Makkah: arrival at Jeddah, 27 Dhu al-Qa'dah 1319 AH",Abdollah Khan describes the dangerous rocky harbor approach and a local pilot boarding the ship to guide it into Jeddah.,First-person maritime observation.
X0905,S0200,,,Safarnameh-ye Makkah: Iranian consular fees and pilgrim grievances,"Abdollah Khan alleges repeated passport, transport and other fee extraction from Iranian pilgrims and criticizes the Jeddah consular operation.",Authorial accusation and reform judgment; not independently verified by this migration.
X0906,S0200,,,Safarnameh-ye Makkah: Mecca urban observations,"Abdollah Khan estimates Mecca's population, describes multi-story stone-and-plaster houses and comments critically on street sanitation.",First-person urban observation; numerical estimates remain source-attributed.
X0907,S0200,,,"Safarnameh-ye Makkah: cholera and route decision, 13–15 Dhu al-Hijjah 1319 AH","The diary records worsening cholera, reconsideration of the Medina route, use of estekhareh, numerous deaths, and delayed departure for lack of transport animals.",First-person public-health and travel-decision account.
X0908,S0200,,,"Editor notes: death of Abdollah Khan's wife, 15 Dhu al-Hijjah 1319 AH",The editor explains that Abdollah Khan's wife became critically ill during the pilgrimage and died on 15 Dhu al-Hijjah 1319 AH after the rites.,Editor commentary based on the travelogue context.
